CrashID,CRASH_DATE_TEXT,Year,Day,Month,CrashDate,DayNumber,CrashTime,Severity,SevIndex,CrashType,Cyclists,Casualties,ReportedLocation,Latt,Long,LOCATION_1,Fad1201,Fad1202,Fad1203,Fad1204,Fad1205,Fad1206,Fad1207,Fad1208,Fad1209,Fad1210,Fad1211,Fad1212,Fad1301,Fad1302,Fad1303,Fad1304,Fad1305,Fad1306,Fad1307,Fad1308,Fad1309,Fad1310,Fad1311,Fad1312,Fad1401,Fad1402,Fad1403,Fad1404,Fad1405,Fad1406,Fad1407,Fad1408,Fad1409,Fad1410,Fad1411,Fad1412,Fad1501,Fad1502,Fad1503,Fad1504,Fad1505,Fad1506,Fad1507,Fad1508,Fad1509,Fad1510,Fad1511,Fad1512,Fad1601,Fad1602,Fad1603,Fad1604,Fad1605,Fad1606,Fad1607,Fad1608,Fad1609,Fad1610,Fad1611,Fad1612,Fad1701,Fad1702,Fad1703,Fad1704,Fad1705,Fad1706,Fad1707,Fad1708,Fad1709,Fad1710,Fad1711,Fad1712,Fad1801,Fad1802,Fad1803,Fad1804,Fad1805,Fad1806,Fad1807,Fad1808,Fad1809,Fad1810,Fad1811,Fad1812
1055714,20 February 2013,2013,20,2,20/02/2013,416,7:57,Injury,0.70,Right turn into oncoming vehicle,1,1,MORPHETT/NORTHBOURNE INTERSECTION,-35.253575,149.133358,"(-35.253575, 149.133358)",1,1,1,1,1,1,1,1,1,1,1,1,1,0.937094164,0.893288888,0.847174725,0.804815989,0.763269054,0.725105601,0.687673547,0.652173845,0.619565152,0.587581402,0.558202332,0.529386309,0.502057853,0.478588725,0.453882587,0.431188458,0.408929259,0.388482796,0.368428188,0.349408856,0.331938413,0.31480279,0.29906265,0.283624169,0.268982667,0.25640884,0.243172272,0.231013658,0.219088063,0.20813366,0.197389197,0.187199394,0.177839425,0.168658838,0.160225896,0.151954571,0.144110235,0.137139,0.130059487,0.123556513,0.117178167,0.111319259,0.105572636,0.10012267,0.095116537,0.090206345,0.085696028,0.081272151,0.077076647,0.073473632,0.06968071,0.066196675,0.06277941,0.05964044,0.056561627,0.053641752,0.050959665,0.048328979,0.04591253,0.043542392,0.041294607,0.039364255,0.037332158,0.03546555,0.033634716,0.03195298,0.030303475,0.028739121,0.027302165,0.025892748,0.024598111
1083381,17 March 2014,2014,17,3,17/03/2014,806,7:30,Injury,0.70,Same direction side swipe,1,1,BUNDA/NORTHBOURNE/RUDD INTERSECTION,-35.277135,149.129453,"(-35.277135, 149.129453)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.932299806,0.884171787,0.839963197,0.796601861,0.756771768,0.717705015,0.680655001,0.646622251,0.613241735,0.582579648,0.552505197,0.523983277,0.499489226,0.473704144,0.450018937,0.426787654,0.405448271,0.384517856,0.364667929,0.346434533,0.328550577,0.312123049,0.296010352,0.280729439,0.267149342,0.253358319,0.240690403,0.228265266,0.216852003,0.205657474,0.195040838,0.185288797,0.175723652,0.166937469,0.158319673,0.150146752,0.143128012,0.135739329,0.128952363,0.122295468,0.116180695,0.11018311,0.104495139,0.099270382,0.094145757,0.089438469,0.084821396,0.080442669,0.076682307,0.072723744,0.069087557,0.065521057,0.062245004,0.059031736,0.055984347,0.05318513,0.050439559,0.047917581
1025046,04 January 2012,2012,4,1,4/01/2012,3,8:50,Property Damage Only,0.10,Other - Vehicle to Vehicle,1,0,BARRY/COOYONG/NORTHBOURNE INTERSECTION,-35.275784,149.129771,"(-35.275784, 149.129771)",0.827249507,0.741914359,0.670072101,0.600950631,0.540855568,0.485063465,0.436557119,0.39152395,0.351136191,0.316022572,0.283423178,0.25508086,0.228767925,0.205169307,0.185953947,0.166771817,0.150094635,0.134611582,0.121150424,0.108653119,0.097444977,0.08770048,0.078653713,0.070788341,0.063486151,0.05693722,0.051604701,0.046281404,0.041653264,0.03735651,0.033620859,0.03015269,0.027042281,0.024338053,0.021827455,0.019644709,0.017618254,0.015800838,0.014320993,0.012843707,0.011559336,0.01036693,0.009330237,0.008367774,0.007504594,0.006754134,0.00605741,0.005451669,0.0048893,0.004384943,0.003960333,0.003551804,0.003196624,0.002866875,0.002580188,0.002314028,0.002075323,0.001867791,0.001675119,0.001507607,0.001352089,0.001212614,0.001099045,0.000985673,0.000887106,0.000795596,0.000716036,0.000642174,0.00057593,0.000518337,0.000464868,0.000418381,0.000375223,0.000336517,0.000305,0.000273537,0.000246184,0.000220789,0.00019871,0.000178212,0.000159828,0.000143845,0.000129007,0.000116106
1107433,07 April 2015,2015,7,4,7/04/2015,1192,8:05,Property Damage Only,0.10,Other - Vehicle to Vehicle,1,0,NORTHBOURNE AVENUE (MORPHETT -> MURDOCH),-35.252917,149.133364,"(-35.252917, 149.133364)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.836011528,0.752410375,0.674795279,0.607315751,0.54466793,0.488482561,0.439634305,0.394283709,0.354855338,0.318250139,0.28542096,0.257782613,0.231190977,0.20807188,0.186608168,0.167947352,0.150622697,0.135085172,0.121576655,0.109035382,0.098131844,0.088009027,0.078930432,0.071538114,0.06415858,0.057742722,0.051786256,0.046607631,0.041799808,0.037487937,0.033739144,0.030258773,0.027232896,0.024423679,0.021904248,0.019852781,0.017804862,0.016024376,0.014371377,0.012934239,0.011600004,0.010403403,0.009363062,0.008397213,0.007557492
1036447,10 June 2012,2012,10,6,10/06/2012,161,16:30,Property Damage Only,0.10,Right angle collision,1,0,HIBBERSON STREET (GOZZARD -> GUNGAHLIN),-35.185382,149.133944,"(-35.185382, 149.133944)",1,1,1,1,1,0.844866354,0.760379719,0.681942542,0.611596574,0.550436917,0.493656447,0.444290802,0.398459864,0.357356629,0.323887995,0.290477241,0.261429517,0.234461684,0.211015516,0.189248153,0.169726208,0.152753587,0.13699625,0.123296625,0.110577928,0.099171232,0.089883239,0.080611309,0.072550178,0.065066245,0.058559621,0.052518887,0.047101287,0.042391158,0.038018287,0.034216458,0.03068685,0.02752134,0.024943798,0.022370714,0.020133642,0.018056751,0.016251076,0.014574692,0.013071235,0.011764112,0.010550582,0.009495524,0.00851601,0.007637539,0.006897968,0.006186407,0.005567766,0.004993421,0.004494079,0.004030491,0.003614725,0.003253252,0.002917662,0.002625896,0.002355021,0.002112088,0.001914278,0.00171681,0.001545129,0.001385741,0.001247167,0.001118515,0.001003134,0.000902821,0.00080969,0.000728721,0.00065355,0.000586133,0.000531238,0.000476438,0.000428794,0.000384562,0.000346105,0.000310403,0.000278383,0.000250545,0.0002247,0.00020223
1033807,27 April 2012,2012,27,4,27/04/2012,117,16:30,Property Damage Only,0.10,Other - Vehicle to Vehicle,1,0,MACARTHUR/NORTHBOURNE/WAKEFIELD INTERSECTION,-35.260511,149.132038,"(-35.260511, 149.132038)",1,1,1,0.896844728,0.807160256,0.72389742,0.651507678,0.584301227,0.524027475,0.471624728,0.422974151,0.380676736,0.341407924,0.306189897,0.27751334,0.248886376,0.223997739,0.200891191,0.180802072,0.162151385,0.145424615,0.130882154,0.117380969,0.105642872,0.094745253,0.084971781,0.077013654,0.06906929,0.062162361,0.055749985,0.050174987,0.044999173,0.040357271,0.036321544,0.032574785,0.029317306,0.026293072,0.023580803,0.021372316,0.019167649,0.017250884,0.015471365,0.013924228,0.012487871,0.011199681,0.010079713,0.009039937,0.008135944,0.007296678,0.006543987,0.005910309,0.00530063,0.004770567,0.004278458,0.003850612,0.003453401,0.003097164,0.002787448,0.002499908,0.002249917,0.002017826,0.001809677,0.00164019,0.001470995,0.001323896,0.001187329,0.001068596,0.000958365,0.000859504,0.000773554,0.000693758,0.000624382,0.000559974,0.00050221,0.000455175,0.000408221,0.000367399,0.0003295,0.00029655,0.000265959,0.000238524,0.000214672,0.000192527,0.000173274
1027295,03 February 2012,2012,3,2,3/02/2012,33,5:50,Injury,0.70,Other - Vehicle to Vehicle,1,1,STONEHAVEN/MELBOURNE/GOWRIE INTERSECTION,-35.319359,149.114493,"(-35.319359, 149.114493)",1,0.910248439,0.866215787,0.821499217,0.780424256,0.740136493,0.703129668,0.666832075,0.63240827,0.600787857,0.569773445,0.541284773,0.513342083,0.486841876,0.464084032,0.440126669,0.418120335,0.396535751,0.376708963,0.357262154,0.338819246,0.321878284,0.305261993,0.289998894,0.27502831,0.260830551,0.248637801,0.235802397,0.224012277,0.212448114,0.201825708,0.19140688,0.181525902,0.172449607,0.163547258,0.155369895,0.14734925,0.139742655,0.133210264,0.126333564,0.120016885,0.113821266,0.108130202,0.102548208,0.097254372,0.092391653,0.087622128,0.083241022,0.078943879,0.074868567,0.071246851,0.067568882,0.064190438,0.060876741,0.057832904,0.054847402,0.05201602,0.049415219,0.046864262,0.044521049,0.042222743,0.040043083,0.038171234,0.036200724,0.034390688,0.032615341,0.030984574,0.029385061,0.027868119,0.026474713,0.025108011,0.023852611,0.02262127,0.021453494,0.020450632,0.019394911,0.018425166,0.017474005,0.016600305,0.015743349,0.014930632,0.0141841,0.013451876,0.012779282
1088480,14 June 2014,2014,14,6,14/06/2014,895,13:50,Injury,0.70,Right turn into oncoming vehicle,1,1,LAMBERT/WATTLE INTERSECTION,-35.247679,149.119859,"(-35.247679, 149.119859)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.927529977,0.881153478,0.83566578,0.792526289,0.752899975,0.714033095,0.67833144,0.643314004,0.61010427,0.581584418,0.551561344,0.523983277,0.496933741,0.472087054,0.447716551,0.424604124,0.403373918,0.382550587,0.363423057,0.344662105,0.326869648,0.31105755,0.294999857,0.280249864,0.265782554,0.252493426,0.239458983,0.227097416,0.215742545,0.204605289,0.194375025,0.184340823,0.174824615,0.166652287,0.158049213,0.150146752,0.142395741,0.135275954,0.128292617,0.12166978,0.115586291,0.109619392,0.104138422,0.098762495,0.093664088,0.08928568,0.084676494,0.080442669,0.076289985,0.072475486,0.068734091,0.065185838,0.061926546,0.058729718,0.055793233
1097029,03 September 2014,2014,3,9,3/09/2014,976,16:30,Injury,0.70,Struck pedestrian (On Road),1,1,COLLEGE/KIRINARI INTERSECTION,-35.242388,149.085286,"(-35.242388, 149.085286)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.910248439,0.864736017,0.820095837,0.779091045,0.738872106,0.700729385,0.667973185,0.633490472,0.601815948,0.570748464,0.542211041,0.514220534,0.487674979,0.46329123,0.439374793,0.417406054,0.395858343,0.375422987,0.357262154,0.338819246,0.321878284,0.305261993,0.289998894,0.27502831,0.260830551,0.247789023,0.234997435,0.223247564,0.211722877,0.200793128,0.19140688,0.181525902,0.172449607,0.163547258,0.155369895,0.14734925,0.139742655,0.132755522,0.125902297,0.119607182,0.113432713,0.107576987,0.102548208,0.097254372,0.092391653,0.087622128,0.083241022,0.078943879,0.074868567,0.071125139,0.067453453,0.06408078
1093159,07 August 2014,2014,7,8,7/08/2014,949,8:30,Property Damage Only,0.10,Right turn into oncoming vehicle,1,0,MURDOCH/NORTHBOURNE INTERSECTION,-35.252666,149.133305,"(-35.252666, 149.133305)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.836011528,0.749772532,0.674795279,0.605186588,0.54466793,0.488482561,0.43809301,0.397062921,0.356103787,0.320493409,0.287432824,0.258689542,0.232004352,0.20807188,0.187264692,0.167947352,0.151152616,0.135560427,0.121576655,0.109803946,0.09847709,0.088629381,0.079486793,0.071538114,0.06415858,0.057540285,0.051786256,0.046444231,0.041799808,0.037487937,0.033620859,0.03047206,0.027328706,0.024595836,0.022058646,0.019852781,0.017804862,0.015968197,0.014371377,0.012888894,0.011600004,0.010403403,0.009330237,0.008456403,0.007584081,0.006825673,0.006121568,0.005509412,0.004941087,0.004431388,0.003988249,0.00357684,0.003219156
