CrashID,CrashDate,Year,Month,Day,CrashTime,Severity,SevIndex,CrashType,Pedestrians,Casualties,ReportedLocation,Location,Latt,Long,Fad1201,Fad1202,Fad1203,Fad1204,Fad1205,Fad1206,Fad1207,Fad1208,Fad1209,Fad1210,Fad1211,Fad1212,Fad1301,Fad1302,Fad1303,Fad1304,Fad1305,Fad1306,Fad1307,Fad1308,Fad1309,Fad1310,Fad1311,Fad1312,Fad1401,Fad1402,Fad1403,Fad1404,Fad1405,Fad1406,Fad1407,Fad1408,Fad1409,Fad1410,Fad1411,Fad1412,Fad1501,Fad1502,Fad1503,Fad1504,Fad1505,Fad1506,Fad1507,Fad1508,Fad1509,Fad1510,Fad1511,Fad1512,Fad1601,Fad1602,Fad1603,Fad1604,Fad1605,Fad1606,Fad1607,Fad1608,Fad1609,Fad1610,Fad1611,Fad1612,Fad1701,Fad1702,Fad1703,Fad1704,Fad1705,Fad1706,Fad1707,Fad1708,Fad1709,Fad1710,Fad1711,Fad1712,Fad1801,Fad1802,Fad1803,Fad1804,Fad1805,Fad1806,Fad1807,Fad1808,Fad1809,Fad1810,Fad1811,Fad1812
1145041,7/10/2016,2016,10,7,8:45,Injury,0.7,Struck pedestrian (On Road),1,1,PARRAMATTA/ATHLLON INTERSECTION,"(-35.354768, 149.091489)",-35.354768,149.091489,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.916495061,0.869182928,0.825723782,0.783097526,0.742671761,0.707954928,0.671408241,0.637837829,0.604910791,0.574665251,0.544999365,0.516864917,0.491021671,0.465673709,0.442390023,0.419552567,0.397894047,0.379294146,0.359713882,0.341728188,0.324087188,0.307882829,0.291989024,0.276915704,0.263069919,0.249489487,0.237015013
1095195,15/09/2014,2014,9,15,16:20,Property Damage Only,0.1,Struck pedestrian (On Road),1,0,PERRY DRIVE (MUSGROVE -> HEATH),"(-35.356968, 149.036867)",-35.356968,149.036867,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.859833306,0.773849975,0.694023271,0.624620944,0.560188001,0.502401655,0.455348668,0.408377052,0.367539347,0.329625726,0.296663153,0.266060785,0.238615213,0.214753691,0.192600716,0.173340645,0.155459643,0.139423162,0.125922311,0.112932761,0.101639485,0.091154836,0.082039353,0.073576561,0.065986751,0.059388076,0.053261883,0.047935694,0.042990875,0.038556139,0.034945121,0.031340348,0.028206313,0.025296683,0.022767015,0.020418477,0.018312204,0.016480983,0.014780883,0.013302795,0.011930541,0.010699843,0.009697737,0.008697365,0.007827628,0.007020167,0.00631815,0.0056664,0.005081881,0.004573693,0.004101892,0.003691703
1075343,23/11/2013,2013,11,23,21:00,Property Damage Only,0.1,Struck pedestrian (On Road),1,0,FURNEAUX/PALMERSTON INTERSECTION,"(-35.319716, 149.131873)",-35.319716,149.131873,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.884333874,0.795900487,0.713799156,0.64016701,0.580211455,0.520359585,0.468323626,0.420013576,0.378012218,0.339018265,0.304046744,0.273642069,0.245414447,0.220873003,0.198088788,0.177654885,0.161016419,0.144406727,0.129966054,0.11655937,0.104903433,0.094082091,0.084377027,0.075939325,0.068105783,0.061295205,0.054972281,0.049301601,0.044527548,0.039934297,0.035940867,0.032233377,0.029010039,0.026017501,0.023333658,0.021000293,0.018834002,0.016950602,0.015202058,0.013633885,0.012356989,0.0110823,0.00997407,0.008945192,0.008050673,0.007220204,0.006475401,0.005827861,0.005226687,0.004704018,0.004218774,0.003783585,0.003429229,0.003075486,0.002767937,0.00248241,0.002234169,0.002003703,0.00179701,0.001617309,0.001450475,0.001305428
1121518,31/08/2015,2015,8,31,20:10,Injury,0.7,Struck pedestrian (On Road),1,1,BUNDA/GAREMA/SCOTTS INTERSECTION,"(-35.278106, 149.132745)",-35.278106,149.132745,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.905591429,0.860311858,0.815900065,0.775105062,0.735091891,0.697144316,0.663420431,0.629172745,0.597714108,0.566858372,0.538515453,0.510715724,0.484351097,0.460133543,0.436380115,0.414561109,0.393160262,0.37286419,0.355434331,0.33708578,0.320231491,0.303700213,0.288515202,0.273621211,0.25949609,0.246521286,0.233795142,0.222105385,0.210639661,0.199765831,0.190427605,0.180597179,0.17156732,0.162710518,0.154574992,0.146595383,0.139027704,0.132076319,0.125258156,0.118995248
1059958,19/04/2013,2013,4,19,13:15,Property Damage Only,0.1,Struck pedestrian (On Road),1,0,ALINGA/NORTHBOURNE INTERSECTION,"(-35.278394, 149.129052)",-35.278394,149.129052,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.871997545,0.784797791,0.703841761,0.633457585,0.568113096,0.509509235,0.458558312,0.411255605,0.370130044,0.331949179,0.297706871,0.269824802,0.241990951,0.217791856,0.195325478,0.17579293,0.157658963,0.14139561,0.127256049,0.114128917,0.102716025,0.092120325,0.082617628,0.074879982,0.067155717,0.060440146,0.054205426,0.048784883,0.043752465,0.039239168,0.035315251,0.031672297,0.028505067,0.025564619,0.022927494,0.020707342,0.01857127,0.016714143,0.014989991,0.013490992,0.012099325,0.010851216,0.009766094,0.00875867,0.007882803,0.00706965,0.006340379,0.005746564,0.005153775,0.004638398,0.004159923,0.00374393,0.003357724,0.003011357,0.002710221,0.002430648,0.002187583,0.001961922,0.00175954,0.001594748,0.001430241,0.001287217,0.001154434,0.001038991,0.000931813,0.000835692,0.000752123,0.000674537,0.000607083
1057147,11/02/2012,2012,2,11,23:32,Injury,0.7,Struck pedestrian (On Road),1,1,NORTHBOURNE AVENUE (LONDON -> ALINGA),"(-35.278960, 149.129158)",-35.278960,149.129158,1,0.922784551,0.878145473,0.832813057,0.791172404,0.75032979,0.712813301,0.676015811,0.641117915,0.609062019,0.577620471,0.548739448,0.520411926,0.493546753,0.470475484,0.446188175,0.423878766,0.401996915,0.38189707,0.362182435,0.343485528,0.326311251,0.309466118,0.293992812,0.278816051,0.264422758,0.252062088,0.239049912,0.227097416,0.215373989,0.204605289,0.194042971,0.18402591,0.174824615,0.165799661,0.157509678,0.149378572,0.141667217,0.13504486,0.128073453,0.12166978,0.115388833,0.109619392,0.103960521,0.098593777,0.093664088,0.088828877,0.084387433,0.080031109,0.075899671,0.072228076,0.068499453,0.06507448,0.061715147,0.05862939,0.05560277,0.052732394,0.050095775,0.047509685,0.045134201,0.042804243,0.040594564,0.038696936,0.036699288,0.034864323,0.033064526,0.031411299,0.029789757,0.028251923,0.026839327,0.025453803,0.024181113,0.022932814,0.021748956,0.020732282,0.019662021,0.01867892,0.01771466,0.016828927,0.015960169,0.015136259,0.014379446,0.013637137,0.012955281
1119120,12/09/2015,2015,9,12,2:30,Injury,0.7,Struck pedestrian (On Road),1,1,LONDON CIRCUIT (EAST -> VERITY),"(-35.279713, 149.130219)",-35.279713,149.130219,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.924363656,0.878145473,0.832813057,0.791172404,0.75032979,0.711595591,0.677172636,0.642215021,0.61010427,0.578608918,0.549678472,0.521302475,0.49439133,0.469671763,0.445425945,0.423154648,0.401310178,0.380593383,0.362802216,0.344073314,0.326869648,0.309995689,0.294495904,0.279293172,0.264875248,0.251631486,0.238641539,0.226709462,0.215006062,0.203906826,0.194375025,0.184340823,0.175123781,0.166083384,0.157779215,0.149634194,0.141909643,0.134814161,0.127854663,0.12146193
1054719,8/02/2013,2013,2,8,15:30,Injury,0.7,Struck pedestrian (Off Road),1,1,STANNER/HANNAH WITTON (SE) INTERSECTION,"(-35.160807, 149.135306)",-35.160807,149.135306,1,1,1,1,1,1,1,1,1,1,1,1,1,0.918063403,0.875147736,0.829970072,0.788471569,0.74776838,0.710379961,0.673708087,0.638929322,0.606982856,0.575648641,0.546866209,0.518635389,0.491861927,0.468869416,0.444665017,0.422431766,0.400624613,0.380593383,0.360946049,0.342312967,0.325197318,0.30840969,0.292989205,0.277864253,0.263520094,0.25120162,0.238233864,0.226322171,0.214638764,0.203906826,0.193380564,0.183397699,0.174227814,0.165233669,0.156971985,0.148868636,0.141183605,0.134353944,0.127418204,0.121047294,0.114798481,0.109058557,0.103428638,0.098089352,0.093184885,0.088374411,0.08395569,0.079621654,0.075511353,0.07198151,0.068265615,0.064852335,0.061504469,0.058429246,0.055412959,0.052552381,0.049924762,0.047347501,0.044980126,0.042658121,0.040455985,0.038564835,0.036574007,0.034745306,0.032951653,0.03130407,0.029688063,0.02815548,0.026747706,0.025366911,0.024098566
1029600,18/02/2012,2012,2,18,21:28,Injury,0.7,Struck pedestrian (On Road),1,1,COOYONG/MORT INTERSECTION,"(-35.275935, 149.131163)",-35.275935,149.131163,1,0.933895194,0.888718646,0.842840412,0.800698392,0.759364019,0.721395818,0.684155274,0.648837195,0.616395335,0.58457522,0.555346459,0.526677865,0.499489226,0.476140171,0.451560434,0.428982413,0.406837096,0.386495242,0.366543236,0.347621212,0.330240151,0.313192197,0.297532587,0.282173092,0.267606499,0.255097002,0.241928155,0.229831747,0.217967166,0.207068807,0.196379315,0.186241645,0.176929563,0.167795946,0.159406149,0.151177141,0.143372939,0.136670847,0.129615501,0.123134726,0.116778155,0.110939247,0.105212241,0.09978088,0.094791836,0.089898407,0.085403486,0.080994711,0.076813529,0.073097727,0.06932421,0.065857999,0.062458218,0.059335308,0.056272247,0.05336731,0.050698945,0.048081718,0.045677632,0.043319621,0.041083336,0.03916286,0.03714116,0.035284102,0.033462634,0.031789502,0.030148436,0.028592086,0.027162482,0.025760276,0.024472262,0.023208933,0.022010821,0.020981906,0.019898759,0.018903821,0.017927951,0.017031553,0.016152335,0.015318505,0.01455258,0.013801333,0.013111267
1130246,30/07/2015,2015,7,30,8:50,Injury,0.7,Struck pedestrian (On Road),1,1,STARKE STREET (MACNAUGHTON -> FULLAGAR),"(-35.228336, 149.020879)",-35.228336,149.020879,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.904044393,0.857375,0.81450625,0.772459075,0.733836122,0.695953373,0.660026242,0.628097919,0.595673683,0.565889999,0.536677116,0.50984326,0.483523673,0.458562779,0.43563464,0.413145916,0.392488621,0.37222722,0.353011771,0.336509931,0.319138313,0.303181397,0.287530294,0.273153779,0.259052789,0.245679733,0.233395746,0.221347181,0.210279822,0.199424568,0.189129693,0.180288662,0.170981639,0.162432557,0.154047317,0.146344951,0.138790201,0.131625448,0.125044176,0.118589033,0.112659581
